Date,Campaign,Impressions,Clicks,Cost,Conversions,Revenue,CTR,CPC,Conversion_Rate,ROAS
2025-01-23,TechFlow_Product_Keywords,36976,863,4938.4,55,10530.98,2.33,5.72,6.37,2.13
2025-01-23,TechFlow_Competitor_Keywords,16077,575,2755.58,29,2336.95,3.58,4.79,5.04,0.85
2025-01-23,TechFlow_Display_Network,30353,1091,6780.93,62,4118.54,3.59,6.22,5.68,0.61
2025-01-23,TechFlow_YouTube_Video,13871,540,2839.63,19,3492.31,3.89,5.26,3.52,1.23
2025-01-24,TechFlow_Brand_Search,29006,1276,10110.69,54,2802.56,4.4,7.92,4.23,0.28
2025-01-24,TechFlow_Product_Keywords,41729,460,2716.12,26,3422.0,1.1,5.9,5.65,1.26
2025-01-24,TechFlow_Competitor_Keywords,40083,1170,4193.08,77,12308.1,2.92,3.58,6.58,2.94
2025-01-24,TechFlow_Display_Network,24389,780,4820.3,52,7087.09,3.2,6.18,6.67,1.47
2025-01-24,TechFlow_YouTube_Video,29404,1202,3434.8,39,5876.13,4.09,2.86,3.24,1.71
2025-01-25,TechFlow_Brand_Search,47227,1785,7477.56,74,10388.34,3.78,4.19,4.15,1.39
2025-01-25,TechFlow_Product_Keywords,24108,1132,7070.9,26,3649.01,4.7,6.25,2.3,0.52
2025-01-25,TechFlow_Competitor_Keywords,35344,837,6298.26,25,3230.6,2.37,7.52,2.99,0.51
2025-01-25,TechFlow_Display_Network,41082,1841,13101.06,136,16697.95,4.48,7.12,7.39,1.27
2025-01-25,TechFlow_YouTube_Video,7701,272,1465.92,18,2443.45,3.53,5.39,6.62,1.67
2025-01-26,TechFlow_Brand_Search,44367,2146,16847.47,133,20137.12,4.84,7.85,6.2,1.2
2025-01-26,TechFlow_Product_Keywords,8239,134,399.01,5,978.37,1.63,2.98,3.73,2.45
2025-01-26,TechFlow_Competitor_Keywords,30443,1347,9820.81,101,12577.3,4.42,7.29,7.5,1.28
2025-01-26,TechFlow_Display_Network,46370,1416,10401.95,98,17404.4,3.05,7.35,6.92,1.67
2025-01-26,TechFlow_YouTube_Video,38983,894,4327.68,19,2866.15,2.29,4.84,2.13,0.66
2025-01-27,TechFlow_Brand_Search,6747,182,693.36,8,933.51,2.7,3.81,4.4,1.35
2025-01-27,TechFlow_Product_Keywords,49582,1568,11920.91,98,13889.58,3.16,7.6,6.25,1.17
2025-01-27,TechFlow_Competitor_Keywords,10806,244,1384.55,10,676.31,2.26,5.67,4.1,0.49
2025-01-27,TechFlow_Display_Network,37684,906,6753.18,63,11955.82,2.4,7.45,6.95,1.77
2025-01-27,TechFlow_YouTube_Video,32635,909,4838.76,48,3259.4,2.79,5.32,5.28,0.67
2025-01-28,TechFlow_Brand_Search,24421,836,2848.45,31,4200.07,3.42,3.41,3.71,1.47
2025-01-28,TechFlow_Product_Keywords,8401,412,1991.67,22,1224.22,4.9,4.83,5.34,0.61
2025-01-28,TechFlow_Competitor_Keywords,41264,1117,8136.15,87,16979.55,2.71,7.28,7.79,2.09
2025-01-28,TechFlow_Display_Network,32109,1350,9166.38,29,5511.33,4.2,6.79,2.15,0.6
2025-01-28,TechFlow_YouTube_Video,22792,882,3034.13,18,3591.91,3.87,3.44,2.04,1.18
2025-01-29,TechFlow_Brand_Search,6725,104,673.94,2,136.38,1.55,6.48,1.92,0.2
2025-01-29,TechFlow_Product_Keywords,39804,1595,9621.52,126,8514.2,4.01,6.03,7.9,0.88
2025-01-29,TechFlow_Competitor_Keywords,5740,255,992.56,5,347.53,4.44,3.89,1.96,0.35
2025-01-29,TechFlow_Display_Network,43954,1958,14307.97,77,10849.88,4.45,7.31,3.93,0.76
2025-01-29,TechFlow_YouTube_Video,21767,582,3899.45,25,4688.03,2.67,6.7,4.3,1.2
2025-01-30,TechFlow_Brand_Search,6050,133,1045.67,8,1171.98,2.2,7.86,6.02,1.12
2025-01-30,TechFlow_Product_Keywords,6306,184,827.87,12,1445.44,2.92,4.5,6.52,1.75
2025-01-30,TechFlow_Competitor_Keywords,19806,206,869.26,4,769.34,1.04,4.22,1.94,0.89
2025-01-30,TechFlow_Display_Network,28792,1216,5832.83,71,12898.54,4.22,4.8,5.84,2.21
2025-01-30,TechFlow_YouTube_Video,20366,809,4858.43,52,3335.72,3.97,6.01,6.43,0.69
2025-01-31,TechFlow_Brand_Search,4226,184,672.25,7,1210.63,4.35,3.65,3.8,1.8
2025-01-31,TechFlow_Product_Keywords,31949,700,2220.63,55,5566.04,2.19,3.17,7.86,2.51
2025-01-31,TechFlow_Competitor_Keywords,39109,880,4268.36,17,2401.66,2.25,4.85,1.93,0.56
2025-01-31,TechFlow_Display_Network,34235,448,2064.07,18,1797.74,1.31,4.61,4.02,0.87
2025-01-31,TechFlow_YouTube_Video,33109,537,1412.91,28,5418.07,1.62,2.63,5.21,3.83
2025-02-01,TechFlow_Brand_Search,17941,246,981.14,8,596.89,1.37,3.99,3.25,0.61
2025-02-01,TechFlow_Product_Keywords,19353,293,1783.02,13,1267.72,1.51,6.09,4.44,0.71
2025-02-01,TechFlow_Competitor_Keywords,49273,1500,10819.36,74,10504.2,3.04,7.21,4.93,0.97
2025-02-01,TechFlow_Display_Network,10769,338,1970.39,16,2520.88,3.14,5.83,4.73,1.28
2025-02-01,TechFlow_YouTube_Video,1154,43,323.16,2,117.98,3.73,7.52,4.65,0.37
2025-02-02,TechFlow_Brand_Search,20149,425,2272.55,26,2857.88,2.11,5.35,6.12,1.26
2025-02-02,TechFlow_Product_Keywords,49734,2204,13270.79,66,9392.07,4.43,6.02,2.99,0.71
2025-02-02,TechFlow_Competitor_Keywords,28706,860,5604.15,23,3594.42,3.0,6.52,2.67,0.64
2025-02-02,TechFlow_Display_Network,31720,924,3703.05,73,4013.08,2.91,4.01,7.9,1.08
2025-02-02,TechFlow_YouTube_Video,14962,175,801.43,9,1174.33,1.17,4.58,5.14,1.47
2025-02-03,TechFlow_Brand_Search,31437,1530,3946.6,93,16967.5,4.87,2.58,6.08,4.3
2025-02-03,TechFlow_Product_Keywords,17917,548,1589.14,41,3275.6,3.06,2.9,7.48,2.06
2025-02-03,TechFlow_Competitor_Keywords,4866,77,340.01,4,704.65,1.58,4.42,5.19,2.07
2025-02-03,TechFlow_Display_Network,11876,175,1196.57,10,1941.6,1.47,6.84,5.71,1.62
2025-02-03,TechFlow_YouTube_Video,15131,434,1781.36,33,5411.73,2.87,4.1,7.6,3.04
2025-02-04,TechFlow_Brand_Search,16110,591,4726.39,26,3413.14,3.67,8.0,4.4,0.72
2025-02-04,TechFlow_Product_Keywords,24259,392,2609.36,14,1387.29,1.62,6.66,3.57,0.53
2025-02-04,TechFlow_Competitor_Keywords,24997,789,2370.18,62,3326.9,3.16,3.0,7.86,1.4
2025-02-04,TechFlow_Display_Network,10318,141,817.05,5,422.2,1.37,5.79,3.55,0.52
2025-02-04,TechFlow_YouTube_Video,31267,1099,6092.74,81,15247.08,3.51,5.54,7.37,2.5
2025-02-05,TechFlow_Brand_Search,27165,1302,8007.41,51,9982.17,4.79,6.15,3.92,1.25
2025-02-05,TechFlow_Product_Keywords,19842,648,5063.73,21,2096.96,3.27,7.81,3.24,0.41
2025-02-05,TechFlow_Competitor_Keywords,49567,2071,6247.42,45,6068.82,4.18,3.02,2.17,0.97
2025-02-05,TechFlow_Display_Network,40624,1417,4471.2,105,11674.41,3.49,3.16,7.41,2.61
2025-02-05,TechFlow_YouTube_Video,46791,1033,3028.27,41,4934.55,2.21,2.93,3.97,1.63
2025-02-06,TechFlow_Brand_Search,43803,1769,7839.98,36,1836.0,4.04,4.43,2.04,0.23
2025-02-06,TechFlow_Product_Keywords,31404,1439,11217.62,90,7915.09,4.58,7.8,6.25,0.71
2025-02-06,TechFlow_Competitor_Keywords,25913,488,1522.95,28,2827.44,1.88,3.12,5.74,1.86
2025-02-06,TechFlow_Display_Network,42974,1850,7153.82,103,19008.6,4.3,3.87,5.57,2.66
2025-02-06,TechFlow_YouTube_Video,7017,311,859.8,15,2630.75,4.43,2.76,4.82,3.06
2025-02-07,TechFlow_Brand_Search,44769,1579,9862.99,43,6232.42,3.53,6.25,2.72,0.63
2025-02-07,TechFlow_Product_Keywords,22383,836,2864.99,53,9064.2,3.73,3.43,6.34,3.16
2025-02-07,TechFlow_Competitor_Keywords,3645,128,359.57,7,850.3,3.51,2.81,5.47,2.36
2025-02-07,TechFlow_Display_Network,35379,1608,12470.09,95,7209.41,4.55,7.76,5.91,0.58
2025-02-07,TechFlow_YouTube_Video,41889,735,4311.6,46,3764.16,1.75,5.87,6.26,0.87
2025-02-08,TechFlow_Brand_Search,7686,225,1716.35,11,1304.3,2.93,7.63,4.89,0.76
2025-02-08,TechFlow_Product_Keywords,7631,169,496.88,7,769.44,2.21,2.94,4.14,1.55
2025-02-08,TechFlow_Competitor_Keywords,39890,507,3858.24,28,5580.78,1.27,7.61,5.52,1.45
2025-02-08,TechFlow_Display_Network,4487,81,378.56,1,198.58,1.81,4.67,1.23,0.52
2025-02-08,TechFlow_YouTube_Video,28139,418,2847.22,12,2192.78,1.49,6.81,2.87,0.77
2025-02-09,TechFlow_Brand_Search,16594,499,1966.92,28,4191.19,3.01,3.94,5.61,2.13
2025-02-09,TechFlow_Product_Keywords,9980,369,923.35,21,2672.48,3.7,2.5,5.69,2.89
2025-02-09,TechFlow_Competitor_Keywords,38624,695,2783.24,45,7521.58,1.8,4.0,6.47,2.7
2025-02-09,TechFlow_Display_Network,18668,621,1811.25,38,2727.63,3.33,2.92,6.12,1.51
2025-02-09,TechFlow_YouTube_Video,23691,491,3506.37,34,3261.65,2.07,7.14,6.92,0.93
2025-02-10,TechFlow_Brand_Search,9109,208,705.57,10,1186.69,2.28,3.39,4.81,1.68
2025-02-10,TechFlow_Product_Keywords,32296,1590,5272.04,42,4383.16,4.92,3.32,2.64,0.83
2025-02-10,TechFlow_Competitor_Keywords,29812,426,2640.07,28,3058.78,1.43,6.2,6.57,1.16
2025-02-10,TechFlow_Display_Network,33988,987,4437.33,66,5323.23,2.9,4.5,6.69,1.2
2025-02-10,TechFlow_YouTube_Video,42953,1474,4318.75,108,13691.34,3.43,2.93,7.33,3.17
2025-02-11,TechFlow_Brand_Search,10821,344,2147.72,24,1662.3,3.18,6.24,6.98,0.77
2025-02-11,TechFlow_Product_Keywords,34752,388,2829.07,11,2068.75,1.12,7.29,2.84,0.73
2025-02-11,TechFlow_Competitor_Keywords,7254,248,1474.35,13,1138.62,3.42,5.94,5.24,0.77
2025-02-11,TechFlow_Display_Network,3464,53,371.3,2,297.72,1.53,7.01,3.77,0.8
2025-02-11,TechFlow_YouTube_Video,21341,635,2605.84,49,3587.64,2.98,4.1,7.72,1.38
2025-02-12,TechFlow_Brand_Search,41211,1624,6356.26,69,11358.94,3.94,3.91,4.25,1.79
2025-02-12,TechFlow_Product_Keywords,14684,656,4494.06,51,3799.21,4.47,6.85,7.77,0.85
2025-02-12,TechFlow_Competitor_Keywords,8334,279,1363.41,8,692.64,3.35,4.89,2.87,0.51
2025-02-12,TechFlow_Display_Network,47212,1741,12875.87,116,10703.78,3.69,7.4,6.66,0.83
2025-02-12,TechFlow_YouTube_Video,10566,375,2456.04,20,2356.11,3.55,6.55,5.33,0.96
2025-02-13,TechFlow_Brand_Search,9088,214,1478.48,8,557.45,2.35,6.91,3.74,0.38
2025-02-13,TechFlow_Product_Keywords,14586,444,2717.79,14,1769.18,3.04,6.12,3.15,0.65
2025-02-13,TechFlow_Competitor_Keywords,1161,36,117.83,2,169.49,3.1,3.27,5.56,1.44
2025-02-13,TechFlow_Display_Network,10927,223,967.42,13,2385.54,2.04,4.34,5.83,2.47
2025-02-13,TechFlow_YouTube_Video,13954,355,2233.36,18,1418.22,2.54,6.29,5.07,0.64
2025-02-14,TechFlow_Brand_Search,11647,414,1482.3,16,1739.6,3.55,3.58,3.86,1.17
2025-02-14,TechFlow_Product_Keywords,12832,561,2078.76,44,8650.36,4.37,3.71,7.84,4.16
2025-02-14,TechFlow_Competitor_Keywords,10337,366,2723.38,19,3164.31,3.54,7.44,5.19,1.16
2025-02-14,TechFlow_Display_Network,17419,340,1882.77,20,2441.53,1.95,5.54,5.88,1.3
2025-02-14,TechFlow_YouTube_Video,1369,27,81.46,1,116.76,1.97,3.02,3.7,1.43
2025-02-15,TechFlow_Brand_Search,9109,103,476.44,6,422.36,1.13,4.63,5.83,0.89
2025-02-15,TechFlow_Product_Keywords,28904,1184,7523.94,90,13115.07,4.1,6.35,7.6,1.74
2025-02-15,TechFlow_Competitor_Keywords,45316,2113,13256.78,50,7025.26,4.66,6.27,2.37,0.53
2025-02-15,TechFlow_Display_Network,43710,2176,5816.92,120,21070.56,4.98,2.67,5.51,3.62
2025-02-15,TechFlow_YouTube_Video,43746,1900,9217.76,46,4572.29,4.34,4.85,2.42,0.5
2025-02-16,TechFlow_Brand_Search,38443,1061,4907.49,55,3437.71,2.76,4.63,5.18,0.7
2025-02-16,TechFlow_Product_Keywords,25714,948,4064.96,55,4593.29,3.69,4.29,5.8,1.13
2025-02-16,TechFlow_Competitor_Keywords,15542,424,1593.56,19,2780.62,2.73,3.76,4.48,1.74
2025-02-16,TechFlow_Display_Network,22210,361,1740.28,11,948.05,1.63,4.82,3.05,0.54
2025-02-16,TechFlow_YouTube_Video,36126,859,2247.79,57,8493.12,2.38,2.62,6.64,3.78
2025-02-17,TechFlow_Brand_Search,9147,344,1391.3,27,3088.29,3.76,4.04,7.85,2.22
2025-02-17,TechFlow_Product_Keywords,35306,1058,6378.74,35,5687.2,3.0,6.03,3.31,0.89
2025-02-17,TechFlow_Competitor_Keywords,28217,979,6747.32,43,6083.94,3.47,6.89,4.39,0.9
2025-02-17,TechFlow_Display_Network,42459,1150,6295.68,34,5607.56,2.71,5.47,2.96,0.89
2025-02-17,TechFlow_YouTube_Video,32365,1575,4594.74,56,10221.75,4.87,2.92,3.56,2.22
2025-02-18,TechFlow_Brand_Search,9825,234,1210.04,13,2347.44,2.38,5.17,5.56,1.94
2025-02-18,TechFlow_Product_Keywords,18572,639,3729.46,27,3286.83,3.44,5.84,4.23,0.88
2025-02-18,TechFlow_Competitor_Keywords,49382,1548,10059.47,106,19547.18,3.13,6.5,6.85,1.94
2025-02-18,TechFlow_Display_Network,38719,1701,7238.69,36,4290.32,4.39,4.26,2.12,0.59
2025-02-18,TechFlow_YouTube_Video,19687,955,5660.41,71,7208.33,4.85,5.93,7.43,1.27
2025-02-19,TechFlow_Brand_Search,19297,364,1556.23,20,2642.07,1.89,4.28,5.49,1.7
2025-02-19,TechFlow_Product_Keywords,22991,530,2571.33,22,4399.95,2.31,4.85,4.15,1.71
2025-02-19,TechFlow_Competitor_Keywords,31050,1423,4483.72,89,16125.28,4.58,3.15,6.25,3.6
2025-02-19,TechFlow_Display_Network,36428,1766,5979.28,47,3880.49,4.85,3.39,2.66,0.65
2025-02-19,TechFlow_YouTube_Video,42351,823,2136.76,31,3015.42,1.94,2.6,3.77,1.41
2025-02-20,TechFlow_Brand_Search,41918,1574,10589.3,117,7141.61,3.75,6.73,7.43,0.67
2025-02-20,TechFlow_Product_Keywords,12819,180,1377.94,8,485.4,1.4,7.66,4.44,0.35
2025-02-20,TechFlow_Competitor_Keywords,18617,351,2680.86,7,1134.31,1.89,7.64,1.99,0.42
2025-02-20,TechFlow_Display_Network,27556,732,4096.14,56,6412.77,2.66,5.6,7.65,1.57
2025-02-20,TechFlow_YouTube_Video,9342,452,2784.78,32,4555.06,4.84,6.16,7.08,1.64
2025-02-21,TechFlow_Brand_Search,25119,734,5842.9,28,3131.42,2.92,7.96,3.81,0.54
2025-02-21,TechFlow_Product_Keywords,13963,520,2212.19,14,2276.81,3.72,4.25,2.69,1.03
2025-02-21,TechFlow_Competitor_Keywords,15763,480,2679.11,26,4268.97,3.05,5.58,5.42,1.59
2025-02-21,TechFlow_Display_Network,35581,1712,8057.73,105,14849.87,4.81,4.71,6.13,1.84
2025-02-21,TechFlow_YouTube_Video,32723,390,1560.06,11,971.52,1.19,4.0,2.82,0.62
2025-02-22,TechFlow_Brand_Search,27837,720,1936.06,30,5559.93,2.59,2.69,4.17,2.87
2025-02-22,TechFlow_Product_Keywords,39398,1740,9058.62,71,12699.02,4.42,5.21,4.08,1.4
2025-02-22,TechFlow_Competitor_Keywords,48496,2415,18305.85,66,3924.92,4.98,7.58,2.73,0.21
2025-02-22,TechFlow_Display_Network,5602,171,845.48,8,1540.67,3.05,4.94,4.68,1.82
2025-02-22,TechFlow_YouTube_Video,34298,1495,4116.8,51,6827.63,4.36,2.75,3.41,1.66
2025-02-23,TechFlow_Brand_Search,17724,462,1790.63,14,2651.51,2.61,3.88,3.03,1.48
2025-02-23,TechFlow_Product_Keywords,3236,81,359.48,4,246.65,2.5,4.44,4.94,0.69
2025-02-23,TechFlow_Competitor_Keywords,37127,859,3895.23,28,1687.14,2.31,4.53,3.26,0.43
2025-02-23,TechFlow_Display_Network,31177,840,3570.43,51,4703.18,2.69,4.25,6.07,1.32
2025-02-23,TechFlow_YouTube_Video,12915,279,1387.88,14,722.54,2.16,4.97,5.02,0.52
2025-02-24,TechFlow_Brand_Search,10278,434,1574.04,26,3675.29,4.22,3.63,5.99,2.33
2025-02-24,TechFlow_Product_Keywords,26770,330,998.41,10,713.14,1.23,3.03,3.03,0.71
2025-02-24,TechFlow_Competitor_Keywords,34128,1154,5020.74,51,8252.65,3.38,4.35,4.42,1.64
2025-02-24,TechFlow_Display_Network,6466,318,1343.61,17,2987.38,4.92,4.23,5.35,2.22
2025-02-24,TechFlow_YouTube_Video,1287,53,184.79,3,428.59,4.12,3.49,5.66,2.32
2025-02-25,TechFlow_Brand_Search,22288,882,4150.65,38,6149.49,3.96,4.71,4.31,1.48
2025-02-25,TechFlow_Product_Keywords,49388,1151,4924.45,28,1841.48,2.33,4.28,2.43,0.37
2025-02-25,TechFlow_Competitor_Keywords,44874,1147,6524.17,29,2365.74,2.56,5.69,2.53,0.36
2025-02-25,TechFlow_Display_Network,25112,862,4985.74,60,7626.75,3.43,5.78,6.96,1.53
2025-02-25,TechFlow_YouTube_Video,27300,1180,3056.79,65,9111.04,4.32,2.59,5.51,2.98
2025-02-26,TechFlow_Brand_Search,26967,480,2181.97,12,1586.09,1.78,4.55,2.5,0.73
2025-02-26,TechFlow_Product_Keywords,9719,104,756.17,2,241.59,1.07,7.27,1.92,0.32
2025-02-26,TechFlow_Competitor_Keywords,32732,693,5001.56,28,2640.35,2.12,7.22,4.04,0.53
